id,GM.25,GM.26,GM.27,GM.29,GM.30,GM.31,GM.33,GM.34,GM.37,GM.38,GM.39,LP.01,LP.02,LP.03,LP.04,LP.06,LP.07,LP.08,LP.09,PD.10,PD.11,PD.12,PD.13,PD.14,PD.15,PD.16,PD.21,PD.22,PD.23,PD.24,VD.51,VD.52,VD.53,VD.54,VD.55,VD.56,VD.57,VD.58
c108,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,2,0,0,0,0,3,1,0,0,2,0,0,0,0,0
c109,496,342,402,413,955,775,396,390,245,517,519,327,105,250,324,119,427,354,593,271,362,284,84,269,24,380,480,294,293,370,1401,401,166,860,532,535,812,474
c110,7,31,2,40,24,15,5,5,2,7,1,0,0,3,0,0,7,5,8,20,28,25,0,14,0,14,23,17,28,38,62,14,5,9,0,5,3,4
c111,7,8,8,1,32,0,10,5,9,5,5,0,18,9,12,0,6,5,13,2,1,4,0,3,0,5,8,2,3,5,26,6,0,5,0,4,6,5
c112,9,5,0,8,21,34,2,3,4,5,10,9,0,1,0,0,7,1,9,6,3,6,0,1,0,0,7,0,0,16,43,2,0,6,0,2,1,2
c113,3,3,0,0,3,0,1,1,0,0,1,0,0,2,1,0,2,0,3,1,0,1,0,0,0,0,0,5,0,0,6,0,0,11,0,3,8,1
c114,122,78,95,53,256,215,128,115,61,71,90,115,0,26,67,2,99,152,125,38,158,49,0,47,0,65,172,97,36,27,465,121,59,232,44,93,63,94
c115,5,2,3,12,16,0,1,4,0,4,7,0,0,3,7,0,3,6,5,1,4,2,0,5,0,3,2,4,14,2,7,4,0,14,0,5,0,5
c116,53,41,62,38,138,118,50,53,32,53,65,32,0,14,17,0,63,46,78,24,39,30,0,35,0,53,77,35,14,29,157,39,6,85,33,42,78,52
c117,22,11,1,3,9,10,18,10,7,6,11,19,0,1,8,4,11,5,6,8,14,9,0,5,0,1,4,6,5,4,20,12,7,0,2,16,3,15
c118,0,2,1,0,6,0,1,4,0,8,0,0,0,0,0,0,0,0,0,2,3,7,0,0,0,2,5,1,1,1,9,0,9,0,2,1,0,1
c119,18,19,24,21,69,80,39,17,12,38,36,0,0,16,24,0,26,14,17,20,15,18,0,13,72,35,54,19,33,35,101,53,0,65,32,12,81,27
c120,56,51,39,24,142,208,62,34,18,35,35,1,18,13,26,19,38,40,30,44,43,34,0,13,0,23,62,23,41,51,146,41,0,180,89,36,82,24
c121,1,2,0,3,11,0,0,3,5,4,6,0,0,0,1,0,3,3,4,2,0,0,0,1,0,0,0,1,0,0,2,2,0,0,0,1,0,0
c122,147,131,317,162,438,517,238,199,175,203,145,420,104,211,261,65,216,288,587,246,416,394,128,238,60,521,737,330,384,197,1358,186,167,557,203,195,1023,207
c123,3,1,0,1,7,0,3,1,1,0,3,0,0,0,0,0,1,0,2,0,3,2,0,0,0,0,1,1,0,0,3,2,0,0,0,1,0,0
c124,1046,526,444,249,1543,702,517,274,118,420,199,184,82,82,446,42,216,512,678,139,557,510,169,410,152,258,745,248,199,390,3098,1032,223,1754,196,315,721,852
c125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c126,0,2,4,0,0,0,3,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c127,27,24,17,31,62,83,11,23,6,41,34,11,28,25,5,26,40,22,55,5,22,12,7,6,0,37,13,17,7,4,84,12,6,27,50,41,60,16
c128,15,9,12,0,54,105,8,7,4,9,7,0,0,2,59,3,10,10,12,2,11,2,0,5,0,4,24,3,4,2,30,18,0,12,17,8,0,9
c129,50,52,21,25,83,35,58,19,12,38,8,0,0,23,51,0,47,49,45,36,31,32,0,25,0,43,63,21,62,65,131,37,17,168,9,34,150,27
c130,0,0,0,0,0,0,2,6,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2
c131,34,12,42,11,153,93,52,41,44,44,37,0,0,8,8,0,10,1,5,14,22,26,0,16,114,29,15,7,16,13,1,0,0,28,0,0,17,0
c132,54,20,8,12,72,72,19,21,9,47,20,0,0,9,3,0,18,23,46,9,20,3,0,13,1,11,11,5,4,17,44,43,5,47,10,25,6,40
c133,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
c134,25,23,27,35,73,22,31,23,21,35,19,0,0,23,14,2,40,26,28,35,37,59,22,25,2,48,61,35,35,48,106,18,31,51,27,24,46,25
c135,100,74,58,48,244,285,96,64,36,71,54,61,26,32,108,24,67,34,86,18,80,26,103,38,0,26,94,23,49,46,285,106,65,249,38,93,69,90
c136,213,132,157,123,315,250,191,179,92,183,101,145,44,121,135,30,184,178,248,51,123,107,55,99,0,91,295,152,110,102,598,176,139,285,112,156,298,144
c137,329,204,275,266,646,572,320,353,226,401,460,237,116,196,199,79,362,263,429,178,236,193,92,171,0,368,447,221,232,209,1358,339,125,631,449,426,920,363
c138,6,5,11,20,29,0,3,9,1,10,13,0,0,0,0,0,8,3,6,3,7,5,0,2,0,7,21,3,12,0,24,4,0,0,0,4,32,3
c139,9,4,10,5,5,6,8,8,10,8,3,0,0,0,0,0,8,8,17,3,4,22,0,8,0,8,3,5,12,4,23,6,0,10,17,4,32,8
